lemma,part_of_speech,absolute_frequency
Carcinoid,PROPN,2
Carcinoids,PROPN,1
Carcinomas,PROPN,1
Cardiomegaly,PROPN,1
Cardiomyopathy,PROPN,2
Cardiotocography,PROPN,1
Caribbean,PROPN,3
Carl,PROPN,2
Carnal,PROPN,2
Carol,PROPN,1
Carolina,PROPN,1
Caroline,PROPN,2
Carolyn,PROPN,1
Carotene,PROPN,1
Carotenes,PROPN,1
Carpal,PROPN,1
Carpentier,PROPN,1
Carr,PROPN,1
Carrier,PROPN,1
Carroll,PROPN,4
Carter,PROPN,1
Cartilage,PROPN,1
Carvedilol,PROPN,2
Casal,PROPN,1
Cassia,PROPN,2
Cat,PROPN,2
Catalepsy,PROPN,1
Cataract,PROPN,3
Category,PROPN,1
Catheter,PROPN,1
Cathy,PROPN,1
Cauda,PROPN,1
Causalgia,PROPN,1
Causes,PROPN,1
Cbpimlosporium,PROPN,1
Cefaclor,PROPN,2
Cefalexin,PROPN,2
Cefamandole,PROPN,1
Cefazolin,PROPN,1
Cefixime,PROPN,1
Cefotaxime,PROPN,2
Cefoxitin,PROPN,2
Cefpodoxime,PROPN,1
Cefradine,PROPN,1
Cefuroxime,PROPN,1
Celecoxib,PROPN,2
Celery,PROPN,2
Celiprolol,PROPN,1
Celsius,PROPN,4
Cementum,PROPN,2
Centigrade,PROPN,1
Central,PROPN,2
Centre,PROPN,1
Cephalhaematoma,PROPN,1
Cephalosporin,PROPN,1
Cereal,PROPN,2
Cerebral,PROPN,2
Cerebrum,PROPN,1
Certain,PROPN,1
Certoparin,PROPN,1
Cerumol,PROPN,1
Cervicitis,PROPN,2
Cervix,PROPN,7
Cesar,PROPN,1
Cetirizine,PROPN,1
Cetus,PROPN,1
ChM,PROPN,2
Chagas,PROPN,3
Chain,PROPN,1
Chairman,PROPN,2
Chanarin,PROPN,1
Chance,PROPN,1
Chancroid,PROPN,2
Characteristics,PROPN,1
Charcoal,PROPN,1
Charcot,PROPN,5
Chard,PROPN,1
Charles,PROPN,1
Cheater,PROPN,1
Cheese,PROPN,2
Chemical,PROPN,2
Chemosis,PROPN,1
Chemotherapy,PROPN,1
Cherry,PROPN,1
Cherubism,PROPN,1
Chest,PROPN,8
Cheyne,PROPN,5
Chez,PROPN,1
Chhibber,PROPN,1
Chiari,PROPN,2
Chicken,PROPN,2
Chickenpox,PROPN,1
Chickpeas,PROPN,1
Children,PROPN,1
Chilis,PROPN,1
Chill,PROPN,1
Chiropody,PROPN,1
Chlamydia,PROPN,12
Chloasma,PROPN,1
Chlorambucil,PROPN,2
Chloramphenicol,PROPN,1
Chlordiazepoxide,PROPN,1
Chloride,PROPN,1
Chloromycetin,PROPN,1
Chloroquine,PROPN,2
Chlorothiazide,PROPN,1
Chlorphenamine,PROPN,2
Chlorpromazine,PROPN,2
Chlorpropamide,PROPN,2
Chlortalidone,PROPN,1
Cholangiography,PROPN,1
Cholecystitis,PROPN,1
Cholecystogram,PROPN,1
Cholecystography,PROPN,1
Cholecystokinin,PROPN,2
Cholera,PROPN,3
Cholerae,PROPN,1
Cholesteatoma,PROPN,2
Cholesterol,PROPN,1
Chomet,PROPN,1
Chondromalacia,PROPN,1
Chondromatosis,PROPN,1
Chondrosarcoma,PROPN,1
Chorea,PROPN,2
Choreoathetosis,PROPN,1
Choriocarcinoma,PROPN,1
Chorioditis,PROPN,1
Choroid,PROPN,2
Choroiditis,PROPN,1
Chris,PROPN,3
Christian,PROPN,2
Christina,PROPN,1
Christmas,PROPN,7
Christopher,PROPN,1
Chromium,PROPN,1
Chromosome,PROPN,1
Chronic,PROPN,3
Churg,PROPN,2
Cicatrin,PROPN,1
Ciclosporin,PROPN,3
Cidofovir,PROPN,1
Cilazapril,PROPN,2
Cilest,PROPN,1
Cilia,PROPN,5
Cimetidine,PROPN,1
Cinnarizine,PROPN,1
Cipramil,PROPN,1
Ciprofibrate,PROPN,1
Ciprofloxacin,PROPN,2
Cisplatin,PROPN,1
Citron,PROPN,1
Citrus,PROPN,1
Cl,PROPN,1
